"","adhesome_gene","bicor","sample_type","nucl_bin"
"337","ITGA1",0.0175563906985943,"Primary Tumor","Non-nuclear-localized"
"338","ITGA2",0.00227707409241593,"Primary Tumor","Nuclear-localized"
"339","ITGA3",0.0981689070380672,"Primary Tumor","Non-nuclear-localized"
"340","ITGA4",0.0713880453087968,"Primary Tumor","Non-nuclear-localized"
"341","ITGA5",0.0534803405064543,"Primary Tumor","Non-nuclear-localized"
"342","ITGA6",0.064496068578529,"Primary Tumor","Non-nuclear-localized"
"343","ITGA7",-0.0614895094373273,"Primary Tumor","Non-nuclear-localized"
"344","ITGAX",0.0680152251700276,"Primary Tumor","Non-nuclear-localized"
"345","ITGAV",-0.0369511243115853,"Primary Tumor","Non-nuclear-localized"
"346","ITGAL",0.0936101020803199,"Primary Tumor","Non-nuclear-localized"
"347","ITGAM",-0.000188624532914573,"Primary Tumor","Non-nuclear-localized"
"348","ITGAD",0.0818448397420579,"Primary Tumor","Non-nuclear-localized"
"349","ITGAE",0.0121992599844962,"Primary Tumor","Non-nuclear-localized"
"350","PTPN12",0.152469211592568,"Primary Tumor","Nuclear-localized"
"351","PTPN11",-0.12231828503259,"Primary Tumor","Nuclear-localized"
"352","PTPN14",0.241407049338001,"Primary Tumor","Nuclear-localized"
"353","SH3KBP1",0.00775209630899671,"Primary Tumor","Non-nuclear-localized"
"354","SORBS1",-0.0708988766231381,"Primary Tumor","Nuclear-localized"
"355","SORBS3",-0.0838747391033067,"Primary Tumor","Nuclear-localized"
"356","SORBS2",-0.0309099196551825,"Primary Tumor","Nuclear-localized"
"357","ADAM10",0.0776596569555159,"Primary Tumor","Nuclear-localized"
"358","ADAM12",0.0921024270233377,"Primary Tumor","Nuclear-localized"
"359","NDEL1",0.0197265216487772,"Primary Tumor","Nuclear-localized"
"360","ABI2",-0.0168351834001393,"Primary Tumor","Nuclear-localized"
"361","ABI3",0.0317328748314254,"Primary Tumor","Non-nuclear-localized"
"362","ABI1",0.0876675647076916,"Primary Tumor","Nuclear-localized"
"363","SRCIN1",-0.0542207988357556,"Primary Tumor","Non-nuclear-localized"
"364","RASA1",-0.0629605155160514,"Primary Tumor","Non-nuclear-localized"
"365","ACTN4",0.19252969892018,"Primary Tumor","Nuclear-localized"
"366","EZR",0.0985472600481988,"Primary Tumor","Nuclear-localized"
"367","SIPA1L3",0.210470283290608,"Primary Tumor","Nuclear-localized"
"368","PPFIA1",0.0715610434155429,"Primary Tumor","Non-nuclear-localized"
"369","RAPGEF1",-0.0615874882653868,"Primary Tumor","Non-nuclear-localized"
"370","RAPGEF2",-0.108078995321213,"Primary Tumor","Non-nuclear-localized"
"371","TUBA1B",0.000368308777045676,"Primary Tumor","Non-nuclear-localized"
"372","CALR",0.149260783426105,"Primary Tumor","Nuclear-localized"
"373","PFN1",0.197536246196517,"Primary Tumor","Nuclear-localized"
"374","SSX2IP",0.06789405179135,"Primary Tumor","Nuclear-localized"
"375","CYTH2",0.0310171230164159,"Primary Tumor","Non-nuclear-localized"
"376","CDH20",-0.00191630755622467,"Primary Tumor","Non-nuclear-localized"
"377","CDH24",0.0129021940257534,"Primary Tumor","Non-nuclear-localized"
"378","FAT1",-0.00336695531423313,"Primary Tumor","Nuclear-localized"
"379","SOS1",0.160831871138113,"Primary Tumor","Non-nuclear-localized"
"380","CBLL1",0.116894475904731,"Primary Tumor","Nuclear-localized"
"381","KRIT1",0.121455517042688,"Primary Tumor","Non-nuclear-localized"
"382","SCRIB",0.175287677544777,"Primary Tumor","Nuclear-localized"
"383","LYN",0.067528609445058,"Primary Tumor","Nuclear-localized"
"384","VAV1",0.0835799226685394,"Primary Tumor","Non-nuclear-localized"
"385","VAV3",0.162792058825559,"Primary Tumor","Non-nuclear-localized"
"386","VAV2",-0.0901298769956468,"Primary Tumor","Non-nuclear-localized"
"387","FERMT2",-0.0663336958804542,"Primary Tumor","Nuclear-localized"
"388","FERMT3",0.0418551790444039,"Primary Tumor","Non-nuclear-localized"
"389","FERMT1",-0.0302578983807748,"Primary Tumor","Non-nuclear-localized"
"390","CRKL",-0.0515755570796501,"Primary Tumor","Nuclear-localized"
"391","NRP1",0.0245482338188462,"Primary Tumor","Non-nuclear-localized"
"392","NRP2",-0.0550516424812213,"Primary Tumor","Non-nuclear-localized"
"393","AGAP2",-0.141680741494226,"Primary Tumor","Nuclear-localized"
"394","ROCK1",0.0573009893051129,"Primary Tumor","Non-nuclear-localized"
"395","PLD1",0.0435537971589555,"Primary Tumor","Non-nuclear-localized"
"396","DOCK1",-0.0354365335982682,"Primary Tumor","Nuclear-localized"
"397","ITGB1",0.0650640816658918,"Primary Tumor","Non-nuclear-localized"
"398","ITGB3",0.0327174693063866,"Primary Tumor","Nuclear-localized"
"399","ITGB2",0.0238254087163502,"Primary Tumor","Non-nuclear-localized"
"400","ITGB5",0.11427817417241,"Primary Tumor","Non-nuclear-localized"
"401","ITGB4",0.124983743142392,"Primary Tumor","Nuclear-localized"
"402","ITGB7",0.141464754140994,"Primary Tumor","Non-nuclear-localized"
"403","ITGB6",0.117072385554762,"Primary Tumor","Nuclear-localized"
"404","ITGB8",0.118531297458076,"Primary Tumor","Non-nuclear-localized"
"405","ITGA10",0.00958734839308013,"Primary Tumor","Non-nuclear-localized"
"406","ITGA11",0.109920530658906,"Primary Tumor","Non-nuclear-localized"
"407","LRP1",-0.12144804123619,"Primary Tumor","Nuclear-localized"
"408","SIRPA",-0.0633547216370485,"Primary Tumor","Non-nuclear-localized"
"409","TGFB1I1",0.0518858501644578,"Primary Tumor","Nuclear-localized"
"410","SHARPIN",0.274467757762111,"Primary Tumor","Non-nuclear-localized"
"411","CAPZA1",0.18859282700784,"Primary Tumor","Non-nuclear-localized"
"412","LIN7A",-0.0905833046523874,"Primary Tumor","Non-nuclear-localized"
"413","PVR",0.0437209566889416,"Primary Tumor","Non-nuclear-localized"
"414","MAPK1",-0.0224052889023348,"Primary Tumor","Nuclear-localized"
"415","MAPK8",0.106549173089261,"Primary Tumor","Nuclear-localized"
"416","NEDD9",0.078996080609191,"Primary Tumor","Nuclear-localized"
"417","DIAPH1",0.118365768358942,"Primary Tumor","Nuclear-localized"
"418","PARD3",0.151472514863067,"Primary Tumor","Non-nuclear-localized"
"419","CDH11",0.0110867280455968,"Primary Tumor","Non-nuclear-localized"
"420","CDH10",-0.0815323785414687,"Primary Tumor","Non-nuclear-localized"
"421","CDH12",0.0379422748946722,"Primary Tumor","Non-nuclear-localized"
"422","CDH15",0.0288219667905385,"Primary Tumor","Non-nuclear-localized"
"423","CDH19",-0.0366604732151672,"Primary Tumor","Non-nuclear-localized"
"424","CDH18",-0.067914393580896,"Primary Tumor","Non-nuclear-localized"
"425","ABL1",-0.101339279519206,"Primary Tumor","Nuclear-localized"
"426","VEZT",0.0113538067301835,"Primary Tumor","Nuclear-localized"
"427","ADAM9",-0.0113098982653432,"Primary Tumor","Non-nuclear-localized"
"428","PRKD1",-0.0920310937452678,"Primary Tumor","Nuclear-localized"
"429","LAYN",0.0652583780703018,"Primary Tumor","Non-nuclear-localized"
"430","HEG1",-0.00442947860262068,"Primary Tumor","Non-nuclear-localized"
"431","FHL2",0.125874493819655,"Primary Tumor","Nuclear-localized"
"432","FLNA",0.0916048290264958,"Primary Tumor","Nuclear-localized"
"433","CTNNA1",0.0319138293212552,"Primary Tumor","Non-nuclear-localized"
"434","CTNNA2",-0.0133283551614192,"Primary Tumor","Nuclear-localized"
"435","CTNNA3",-0.045311272004426,"Primary Tumor","Non-nuclear-localized"
"436","SYNM",-0.111091996245372,"Primary Tumor","Non-nuclear-localized"
"437","GAB1",-0.0621444406729815,"Primary Tumor","Non-nuclear-localized"
"438","ASAP2",0.0435854498518476,"Primary Tumor","Non-nuclear-localized"
"439","ASAP3",-0.00455048648007016,"Primary Tumor","Nuclear-localized"
"440","ARHGAP21",-0.0681483537754282,"Primary Tumor","Non-nuclear-localized"
"441","ARHGAP26",0.0709096446881853,"Primary Tumor","Non-nuclear-localized"
"442","ARHGAP24",-0.018474857092501,"Primary Tumor","Non-nuclear-localized"
"443","PKD1",-0.0215542734604971,"Primary Tumor","Nuclear-localized"
"444","PRKACA",0.0259005100870517,"Primary Tumor","Nuclear-localized"
"445","GNA12",-0.14199403211721,"Primary Tumor","Non-nuclear-localized"
"446","RAP1A",0.0140782551168845,"Primary Tumor","Non-nuclear-localized"
"447","INSR",0.0908566958526608,"Primary Tumor","Nuclear-localized"
"448","SPTBN1",-0.146669617704759,"Primary Tumor","Nuclear-localized"
"449","ACTN1",0.088680243525428,"Primary Tumor","Non-nuclear-localized"
"450","TRIP6",0.0996924815165349,"Primary Tumor","Nuclear-localized"
"451","CAV1",0.0198022170958597,"Primary Tumor","Non-nuclear-localized"
"452","SVIL",0.0808075724901262,"Primary Tumor","Nuclear-localized"
"453","MET",0.085490484043737,"Primary Tumor","Non-nuclear-localized"
"454","CASS4",0.0669331267994155,"Primary Tumor","Non-nuclear-localized"
"455","CDH8",0.0515787173295648,"Primary Tumor","Non-nuclear-localized"
"456","HSPB1",0.222631536249018,"Primary Tumor","Nuclear-localized"
"457","AJAP1",0.00462497122044829,"Primary Tumor","Non-nuclear-localized"
"458","PRNP",-0.0652262482554913,"Primary Tumor","Nuclear-localized"
"459","PEAK1",-0.00539702522313539,"Primary Tumor","Non-nuclear-localized"
"460","LPXN",0.0753077444323077,"Primary Tumor","Nuclear-localized"
"461","LIMS2",0.0112725302824127,"Primary Tumor","Nuclear-localized"
"462","LIMS1",0.144098286540033,"Primary Tumor","Non-nuclear-localized"
"463","ARHGEF2",0.0529645492566306,"Primary Tumor","Non-nuclear-localized"
"464","CDH2",-0.0676254799408283,"Primary Tumor","Non-nuclear-localized"
"465","ACTB",0.139799750395114,"Primary Tumor","Nuclear-localized"
"466","STARD13",-0.0394527836150857,"Primary Tumor","Non-nuclear-localized"
"467","JUP",0.231207044557457,"Primary Tumor","Nuclear-localized"
"468","CTNND2",-0.095877081555128,"Primary Tumor","Nuclear-localized"
"469","CTNND1",0.150049263694609,"Primary Tumor","Nuclear-localized"
"470","TESK1",0.0927637814515543,"Primary Tumor","Nuclear-localized"
"471","TRPM7",0.0848092721680771,"Primary Tumor","Non-nuclear-localized"
"472","LIMK1",0.0267073631903901,"Primary Tumor","Nuclear-localized"
"473","FER",-0.133869450116711,"Primary Tumor","Nuclear-localized"
"474","MAPK8IP3",-0.0176088139404829,"Primary Tumor","Non-nuclear-localized"
"475","DLG1",0.109395371276965,"Primary Tumor","Nuclear-localized"
"476","SPTLC1",-0.0114550900054227,"Primary Tumor","Non-nuclear-localized"
"477","KCNH2",-0.000677066187257953,"Primary Tumor","Non-nuclear-localized"
"478","CIB2",0.00336286350776626,"Primary Tumor","Non-nuclear-localized"
"479","CIB1",0.0801770616526007,"Primary Tumor","Nuclear-localized"
"480","PTPN2",0.235503951159098,"Primary Tumor","Nuclear-localized"
"481","PTPN1",0.133314485888587,"Primary Tumor","Non-nuclear-localized"
"482","PTPN6",0.155118299259187,"Primary Tumor","Nuclear-localized"
"483","OSTF1",0.0205655004634221,"Primary Tumor","Non-nuclear-localized"
"484","DLG5",-0.0601973413995475,"Primary Tumor","Non-nuclear-localized"
"485","INPP5D",0.0113618751060666,"Primary Tumor","Non-nuclear-localized"
"486","PXN",0.096777807216083,"Primary Tumor","Non-nuclear-localized"
"487","THY1",0.0462280648846029,"Primary Tumor","Non-nuclear-localized"
"488","MMP14",0.0214290781928373,"Primary Tumor","Nuclear-localized"
"489","HRAS",-0.0159915410456273,"Primary Tumor","Nuclear-localized"
"490","FLNB",0.094303213243262,"Primary Tumor","Nuclear-localized"
"491","CDH22",-0.0691989299072674,"Primary Tumor","Non-nuclear-localized"
"492","LPP",0.212323962298296,"Primary Tumor","Nuclear-localized"
"493","PSEN1",0.056846617703862,"Primary Tumor","Nuclear-localized"
"494","NUMB",0.161056413553869,"Primary Tumor","Nuclear-localized"
"495","HAX1",0.185064464069589,"Primary Tumor","Nuclear-localized"
"496","GIT1",0.0282029505776688,"Primary Tumor","Non-nuclear-localized"
"497","GIT2",-0.00234538035655758,"Primary Tumor","Nuclear-localized"
"498","DEF6",0.110680469213281,"Primary Tumor","Nuclear-localized"
"499","RHOU",-0.0367115414713206,"Primary Tumor","Non-nuclear-localized"
"500","RHOA",0.0210708906952148,"Primary Tumor","Nuclear-localized"
"501","CTTN",0.10152396603225,"Primary Tumor","Non-nuclear-localized"
"502","ENG",0.105745014048159,"Primary Tumor","Nuclear-localized"
"503","TLN1",0.0468491284901712,"Primary Tumor","Non-nuclear-localized"
"504","SDC1",0.0877135180812757,"Primary Tumor","Non-nuclear-localized"
"505","SDC4",0.0838935523205139,"Primary Tumor","Non-nuclear-localized"
"506","EXOC3",0.0631683574432777,"Primary Tumor","Non-nuclear-localized"
"507","ANK3",0.0984105553568971,"Primary Tumor","Non-nuclear-localized"
"508","SSH1",0.0503319864569856,"Primary Tumor","Non-nuclear-localized"
"509","RAVER1",0.0231396453385407,"Primary Tumor","Nuclear-localized"
"510","CBL",0.0267769803065376,"Primary Tumor","Non-nuclear-localized"
"511","NCK2",0.138770462665256,"Primary Tumor","Non-nuclear-localized"
"512","MPP7",0.187117956225536,"Primary Tumor","Nuclear-localized"
"513","CORO2A",0.128237612604664,"Primary Tumor","Non-nuclear-localized"
"514","CSNK2A1",0.165961975307065,"Primary Tumor","Nuclear-localized"
"515","ITGB1BP1",0.0505619767959193,"Primary Tumor","Nuclear-localized"
"516","RAC1",0.127702043166304,"Primary Tumor","Non-nuclear-localized"
"517","VCL",0.151816081816646,"Primary Tumor","Non-nuclear-localized"
"518","ILKAP",-0.0101165147923127,"Primary Tumor","Nuclear-localized"
"519","DBN1",0.0167750350113679,"Primary Tumor","Non-nuclear-localized"
"520","ZFYVE21",-0.00233583668935452,"Primary Tumor","Non-nuclear-localized"
"521","PTK2",0.216935503276577,"Primary Tumor","Nuclear-localized"
"522","ITGB3BP",0.107507746502843,"Primary Tumor","Nuclear-localized"
"523","FBLIM1",0.159028512396956,"Primary Tumor","Nuclear-localized"
"524","RNF5",0.125772495050506,"Primary Tumor","Non-nuclear-localized"
"525","ACTR3",0.199864756809748,"Primary Tumor","Nuclear-localized"
"526","NUDT16L1",0.0532925513499151,"Primary Tumor","Nuclear-localized"
"527","NISCH",-0.0735210053224638,"Primary Tumor","Nuclear-localized"
"528","CRK",0.0820973064913658,"Primary Tumor","Nuclear-localized"
"529","CSNK1E",-0.0103747265395305,"Primary Tumor","Nuclear-localized"
"530","SRC",0.0522328835701498,"Primary Tumor","Nuclear-localized"
"531","TNS1",0.0314216859550987,"Primary Tumor","Non-nuclear-localized"
"532","TJP2",-0.0584886470698155,"Primary Tumor","Nuclear-localized"
"533","TJP1",-0.0021617994157044,"Primary Tumor","Non-nuclear-localized"
"534","SLC3A2",0.0163854084641968,"Primary Tumor","Nuclear-localized"
"535","FSCN1",0.00678972732059111,"Primary Tumor","Non-nuclear-localized"
"536","CD151",0.115134466280503,"Primary Tumor","Non-nuclear-localized"
"537","IRS1",0.00646473808438873,"Primary Tumor","Nuclear-localized"
"538","TRPV4",0.200687987482395,"Primary Tumor","Non-nuclear-localized"
"539","SDCBP",0.0416774121061003,"Primary Tumor","Nuclear-localized"
"540","ARHGEF12",0.0470915767951056,"Primary Tumor","Non-nuclear-localized"
"541","MYOM1",-0.0596691526086703,"Primary Tumor","Non-nuclear-localized"
"542","CORO1B",0.113056697711728,"Primary Tumor","Non-nuclear-localized"
"543","WASF2",0.130070007235534,"Primary Tumor","Non-nuclear-localized"
"544","CTNNB1",-0.0307415441133756,"Primary Tumor","Nuclear-localized"
"545","FABP3",0.0904887888514416,"Primary Tumor","Non-nuclear-localized"
"546","MACF1",-0.0211034142318667,"Primary Tumor","Non-nuclear-localized"
"547","MSN",0.0680099076338387,"Primary Tumor","Nuclear-localized"
"548","CDC42",0.164557321965248,"Primary Tumor","Non-nuclear-localized"
"549","TRIO",-0.00382549667946505,"Primary Tumor","Non-nuclear-localized"
"550","SLC16A3",0.0682008568832437,"Primary Tumor","Nuclear-localized"
"551","ARHGAP32",0.0711599678574845,"Primary Tumor","Nuclear-localized"
"552","ARHGAP35",-0.0290071882241892,"Primary Tumor","Nuclear-localized"
"553","TES",0.0616832329737465,"Primary Tumor","Nuclear-localized"
"554","MARCKS",-0.0814296477370497,"Primary Tumor","Nuclear-localized"
"555","LMO7",0.0914247467540035,"Primary Tumor","Nuclear-localized"
"556","NME1",0.0988613562870469,"Primary Tumor","Nuclear-localized"
"557","EPB41",0.106622950628612,"Primary Tumor","Nuclear-localized"
"558","TIAM1",-0.0263512484604295,"Primary Tumor","Nuclear-localized"
"559","PDZD2",0.10530559957387,"Primary Tumor","Nuclear-localized"
"560","NF2",0.0582739677317119,"Primary Tumor","Nuclear-localized"
"561","LASP1",0.0549924321803038,"Primary Tumor","Non-nuclear-localized"
"562","TRPC4",-0.0395995001209509,"Primary Tumor","Non-nuclear-localized"
"563","DYNC1H1",-0.106424451639787,"Primary Tumor","Non-nuclear-localized"
"564","LIMA1",-0.0588013116511169,"Primary Tumor","Non-nuclear-localized"
"565","CASP3",0.014148826289663,"Primary Tumor","Nuclear-localized"
"566","CASP8",0.285763268091325,"Primary Tumor","Nuclear-localized"
"567","AKT1",0.0686967166455569,"Primary Tumor","Nuclear-localized"
"568","PKP4",0.181571053734248,"Primary Tumor","Nuclear-localized"
"569","ELMO1",-0.0300664163418906,"Primary Tumor","Non-nuclear-localized"
"570","SMPX",0.129172366634222,"Primary Tumor","Nuclear-localized"
"571","ANKRD28",0.0418786501148086,"Primary Tumor","Nuclear-localized"
"572","PLCG1",-0.0847428444072543,"Primary Tumor","Nuclear-localized"
"573","INPPL1",0.129003257759436,"Primary Tumor","Nuclear-localized"
"574","EGFR",-0.0770985488763069,"Primary Tumor","Nuclear-localized"
"575","ARHGEF6",-0.121955383193603,"Primary Tumor","Non-nuclear-localized"
"576","ARHGEF7",-0.0138763762408441,"Primary Tumor","Non-nuclear-localized"
"577","CDH9",-0.210955932443828,"Primary Tumor","Non-nuclear-localized"
"578","CDH1",-0.016086935724769,"Primary Tumor","Non-nuclear-localized"
"579","CDH3",0.108675159692599,"Primary Tumor","Non-nuclear-localized"
"580","CDH5",0.00782403444558457,"Primary Tumor","Nuclear-localized"
"581","CDH4",-0.0608134621150572,"Primary Tumor","Non-nuclear-localized"
"582","CDH7",-0.136226480294531,"Primary Tumor","Non-nuclear-localized"
"583","CDH6",0.154393414341588,"Primary Tumor","Nuclear-localized"
"584","RACGAP1",0.067849385596886,"Primary Tumor","Nuclear-localized"
"585","KEAP1",-0.0618029945981799,"Primary Tumor","Nuclear-localized"
"586","NEXN",0.0739679080785322,"Primary Tumor","Non-nuclear-localized"
"587","ENAH",0.065823108630871,"Primary Tumor","Non-nuclear-localized"
"588","ECT2",0.157955334257333,"Primary Tumor","Nuclear-localized"
"589","PLEC",0.160822213651522,"Primary Tumor","Non-nuclear-localized"
"590","MYO7A",-0.0192296661498668,"Primary Tumor","Non-nuclear-localized"
"591","CSRP1",0.0887754966348947,"Primary Tumor","Nuclear-localized"
"592","BCAR1",-0.0671932460941481,"Primary Tumor","Non-nuclear-localized"
"593","BCAR3",-0.0522455324074751,"Primary Tumor","Non-nuclear-localized"
"594","DNM2",0.0753385517320673,"Primary Tumor","Nuclear-localized"
"595","CFL1",0.134598652208403,"Primary Tumor","Nuclear-localized"
"596","PLAUR",0.108985714011478,"Primary Tumor","Non-nuclear-localized"
"597","AKAP5",-0.0724961063670753,"Primary Tumor","Non-nuclear-localized"
"598","SHC1",0.109296800086266,"Primary Tumor","Non-nuclear-localized"
"599","PTEN",0.114599231251978,"Primary Tumor","Nuclear-localized"
"600","KTN1",-0.0203595551900397,"Primary Tumor","Non-nuclear-localized"
"601","PTPRU",0.145335051068705,"Primary Tumor","Non-nuclear-localized"
"602","PTPRT",-0.0151976135877253,"Primary Tumor","Non-nuclear-localized"
"603","PTPRF",0.161295190330214,"Primary Tumor","Non-nuclear-localized"
"604","PTPRA",-0.026981098219999,"Primary Tumor","Non-nuclear-localized"
"605","PTPRO",-0.0629254069461338,"Primary Tumor","Non-nuclear-localized"
"606","PTPRM",-0.0241650333960719,"Primary Tumor","Non-nuclear-localized"
"607","PTPRK",0.0525288209488169,"Primary Tumor","Non-nuclear-localized"
"608","PTPRJ",-0.00963614774141504,"Primary Tumor","Non-nuclear-localized"
"609","PTPRH",-0.103681333107579,"Primary Tumor","Non-nuclear-localized"
"610","VIM",0.0139729138363163,"Primary Tumor","Nuclear-localized"
"611","RDX",-0.069537430173831,"Primary Tumor","Non-nuclear-localized"
"612","WASL",0.0129413683337964,"Primary Tumor","Nuclear-localized"
"613","PIK3CA",0.109133682679317,"Primary Tumor","Non-nuclear-localized"
"614","ARF1",0.21568795126381,"Primary Tumor","Non-nuclear-localized"
"615","ARF6",0.174075197733778,"Primary Tumor","Non-nuclear-localized"
"616","CLIP1",-0.0383530780315817,"Primary Tumor","Nuclear-localized"
"617","CD47",0.15538259024811,"Primary Tumor","Non-nuclear-localized"
"618","PAK1",0.141847790721203,"Primary Tumor","Nuclear-localized"
"619","FYN",-0.104068834529383,"Primary Tumor","Nuclear-localized"
"620","ARHGAP5",0.0236682155693751,"Primary Tumor","Non-nuclear-localized"
"621","GRB2",-0.0728489424528921,"Primary Tumor","Nuclear-localized"
"622","GRB7",0.135719847115793,"Primary Tumor","Non-nuclear-localized"
"623","ACP1",0.15185302258951,"Primary Tumor","Non-nuclear-localized"
"624","PRKCA",-0.120466321855751,"Primary Tumor","Nuclear-localized"
"625","PRKCD",0.16395353118942,"Primary Tumor","Nuclear-localized"
"626","SYK",0.148355973894096,"Primary Tumor","Nuclear-localized"
"627","ILK",0.0333827024117696,"Primary Tumor","Nuclear-localized"
"628","PLEKHA7",0.114198124191921,"Primary Tumor","Nuclear-localized"
"629","MYH10",-0.0259483824065624,"Primary Tumor","Nuclear-localized"
"630","CGNL1",-0.0257001568657972,"Primary Tumor","Non-nuclear-localized"
"631","SLC9A1",0.0839915893713761,"Primary Tumor","Nuclear-localized"
"632","MYO6",0.0896966777273016,"Primary Tumor","Nuclear-localized"
"633","PABPC1",0.304472152604191,"Primary Tumor","Nuclear-localized"
"634","DLC1",-0.0681024498511284,"Primary Tumor","Nuclear-localized"
"635","SH2B1",-0.0441688190611702,"Primary Tumor","Nuclear-localized"
"636","WIPF2",0.0947660149385501,"Primary Tumor","Nuclear-localized"
"637","PPM1F",-0.0716567226220297,"Primary Tumor","Nuclear-localized"
"638","PPM1M",0.0037071452662342,"Primary Tumor","Nuclear-localized"
"639","ZYX",0.121515425722713,"Primary Tumor","Nuclear-localized"
"640","PPP2CA",0.0116764966412195,"Primary Tumor","Nuclear-localized"
"641","ARPC2",0.176881195341549,"Primary Tumor","Nuclear-localized"
"642","ARHGAP12",-0.0558806239935208,"Primary Tumor","Non-nuclear-localized"
"643","PALLD",0.00449775386616188,"Primary Tumor","Nuclear-localized"
"644","PDPK1",0.0055465514621864,"Primary Tumor","Nuclear-localized"
"645","PTK2B",-0.0480786704349526,"Primary Tumor","Nuclear-localized"
"646","IQGAP1",0.112953051223337,"Primary Tumor","Nuclear-localized"
"647","RNF185",0.0144312461126119,"Primary Tumor","Non-nuclear-localized"
"648","PARVA",0.142499686384667,"Primary Tumor","Nuclear-localized"
"649","TRIOBP",0.0677666117042233,"Primary Tumor","Nuclear-localized"
"650","CSK",0.0834484864271663,"Primary Tumor","Non-nuclear-localized"
"651","SH3BP1",0.085034057146267,"Primary Tumor","Nuclear-localized"
"652","MAGI1",0.0876169827057186,"Primary Tumor","Nuclear-localized"
"653","TSPAN1",0.155397485098996,"Primary Tumor","Nuclear-localized"
"654","HSPA2",-0.0231865903019106,"Primary Tumor","Nuclear-localized"
"655","SHROOM3",0.144089837461501,"Primary Tumor","Non-nuclear-localized"
"656","VASP",0.132701788683704,"Primary Tumor","Non-nuclear-localized"
"657","CEACAM1",0.117663267255202,"Primary Tumor","Non-nuclear-localized"
"658","ADD1",-0.123348015146704,"Primary Tumor","Nuclear-localized"
"659","LDB3",-0.0116712900587561,"Primary Tumor","Non-nuclear-localized"
"660","MYH9",0.111399317585489,"Primary Tumor","Nuclear-localized"
"661","PIP5K1C",0.00220358789406907,"Primary Tumor","Nuclear-localized"
"662","CAPN2",0.0149134740733115,"Primary Tumor","Nuclear-localized"
"663","CAPN1",0.179684874754775,"Primary Tumor","Non-nuclear-localized"
"664","PARVB",0.0813217594388566,"Primary Tumor","Non-nuclear-localized"
"665","ARVCF",-0.0552864935977623,"Primary Tumor","Nuclear-localized"
"666","STAT3",0.0964778432777224,"Primary Tumor","Nuclear-localized"
"667","PDE4D",-0.0297966275725066,"Primary Tumor","Nuclear-localized"
"668","CD2AP",0.1993646377259,"Primary Tumor","Nuclear-localized"
